,end_station_name,end_station_id
3512,Independence Ave & L'Enfant Plaza SW/DOE,31633.0
1271026,Inlet Ct & Wiehle Dr,32242.0
2035,Iwo Jima Memorial / Meade & 14th St N,31077.0
77,Jefferson Dr & 14th St SW,31247.0
229,Jefferson Memorial,31249.0
180,John McCormack Dr & Michigan Ave NE,31502.0
5043,John McCormack Rd NE,31528.0
345641,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,31819.0
161990,Jones Branch & Westbranch Dr,32206.0
8138032,Jones Branch Dr & Blyton St,32269.0
1408,Jones Branch Drive & Scotts Crossing Rd,32233.0
76,Joyce St & 16th St S,31091.0
3444,Kansas Ave & Longfellow St NW,31423.0
1235,Kansas Ave & Sherman Cr NW,31417.0
5090732,Kenilworth Terr & Hayes St. NE,31717.0
910,Kenilworth Terrace & Hayes St. NE,31717.0
551416,Kenmore Ave & Seminary Rd,31946.0
1202,Kenmore St & 24th St S,31061.0
1458,Kennebec St & 11th St N,31905.0
794,Kennedy Center,31211.0
7337216,Kenwood Ave & Osage St,31908.0
7865,Key Blvd & N Quinn St,31027.0
26666,Key West Ave & Diamondback Dr,32072.0
18292,Key West Ave & Great Seneca Hwy,32070.0
881,Key West Ave & Siesta Key Way,32052.0
2235,King Farm Blvd & Piccard Dr,32038.0
2636,King Farm Blvd & Pleasant Dr,32037.0
2049,King Greenleaf Rec Center,31654.0
2625163,King St & Kenwood Ave,31957.0
2847487,King St & N Pitt St,31968.0
786,King St & Patrick St,31044.0
2488471,King St & Peyton St,31955.0
2825770,King St & W Braddock Rd,31962.0
960,King St Metro North / Cameron St,31098.0
911,King St Metro South,31048.0
321,Kingman Island/The Fields at RFK,31716.0
2984,L'Enfant Plaza / 7th & C St SW,31218.0
1365763,Lake Newport Rd and Autumn Ridge Cir,32251.0
364,Lamont & Mt Pleasant NW,31107.0
1311766,Langston Blvd & N Adams St,31030.0
1318965,Langston Blvd & N Cleveland St,31079.0
5334181,Langston Blvd & N Kirkwood Rd,31094.0
